,First_Name,Last_Name,Sex,Insta_URLs,Insta_Handles,Age,Home,Occupation,Baseline
0,Dre,Woodard,M,https://www.instagram.com/drewoodard/?hl=en,@drewoodard,23,"Atlanta, USA",Graduate,4448
1,Isaac,Francis,M,https://www.instagram.com/isaacfranciss/?hl=en,@isaacfranciss,24,"New Jersey, USA",Model and banker,25441
2,Alex,Snell,M,https://www.instagram.com/alexsnelll/?hl=en,@alexsnelll,28,"London, UK",Personal trainer,18373
3,Christine,Obanor,F,https://www.instagram.com/christineobanor/?hl=en,@christineobanor,26,"Texas, USA",Model,34430
4,Courtney,Randolph,F,https://www.instagram.com/courtneykrandolph/?hl=en,@courtneykrandolph,25,"Houston, USA",Real estate agent,110974
5,Elys,Hutchinson,F,https://www.instagram.com/elys_hutchinson/?hl=en,@elys_hutchinson,23,Switzerland,Model,19583
6,Hannah,Brooke,F,https://www.instagram.com/hannahbrooke/?hl=en,@hannahbrooke,24,"LA, USA",Artist,302786
7,Hunter,LoNigro,M,https://www.instagram.com/hunting_for_lonigro/?hl=en,@hunting_for_lonigro,24,"Arizona, USA",Influencer,19198
8,Louis,Russell,M,https://www.instagram.com/louis_russell/?hl=en,@louis_russell,22,"Hampshire, UK",Model,62483
9,Megan,Thompson,F,https://www.instagram.com/meganthomsn/?hl=en,@meganthomsn,26,"Cambridge, UK",Personal assistant,15429
